----------------------------------------------------------------------------------------------------
Execution: 0
Generation 37 | Average Generation Fitness: 0.0034588559280347175 | Best Fitness: 0.007914038467208616 | Population Length: 20| Best DNA: 'ποσειδωνιος αλεξανδρος ουδις ποσειδωνιος'
Generation 38 | Average Generation Fitness: 0.0029826556411441125 | Best Fitness: 0.0043144713498138336 | Population Length: 20| Best DNA: 'χρυσιον αλεξανδρος ουδις χρυσιον'
Generation 39 | Average Generation Fitness: 0.003505375126644681 | Best Fitness: 0.009116252584175552 | Population Length: 20| Best DNA: 'τους αλεξανδρος ουδις τους'
Generation 40 | Average Generation Fitness: 0.0028497495804385227 | Best Fitness: 0.00544307763867685 | Population Length: 20| Best DNA: 'εσφραγισαντο αλεξανδρος ουδις εσφραγισαντο'
Generation 41 | Average Generation Fitness: 0.002796282380346908 | Best Fitness: 0.005141987186081966 | Population Length: 20| Best DNA: 'δημος αλεξανδρος ουδις δημος'
Generation 42 | Average Generation Fitness: 0.002959788926700228 | Best Fitness: 0.007468366683488188 | Population Length: 20| Best DNA: 'εκγονοις αλεξανδρος ουδις εκγονοις'
Generation 43 | Average Generation Fitness: 0.0029602006694210885 | Best Fitness: 0.007089341779113833 | Population Length: 20| Best DNA: 'ιερησαμεν αλεξανδρος ουδις ιερησαμεν'
Generation 44 | Average Generation Fitness: 0.0027420596699214263 | Best Fitness: 0.004679351827480788 | Population Length: 20| Best DNA: 'ιδιω αλεξανδρος ουδις ιδιω'
Generation 45 | Average Generation Fitness: 0.0028041792813610677 | Best Fitness: 0.0059217440562736295 | Population Length: 20| Best DNA: 'ηδυν αλεξανδρος ουδις ηδυν'
Generation 46 | Average Generation Fitness: 0.0027710032175210873 | Best Fitness: 0.0042412540001493595 | Population Length: 20| Best DNA: 'προθησειμ αλεξανδρος ουδις προθησειμ'
Generation 47 | Average Generation Fitness: 0.0028556697596311556 | Best Fitness: 0.005268611823871621 | Population Length: 20| Best DNA: 'εκλησιας αλεξανδρος ουδις εκλησιας'
Generation 48 | Average Generation Fitness: 0.002874617046394181 | Best Fitness: 0.006489028458034011 | Population Length: 20| Best DNA: 'καθοσ αλεξανδρος ουδις καθοσ'
Generation 49 | Average Generation Fitness: 0.0026400969247867227 | Best Fitness: 0.002640096924786723 | Population Length: 20| Best DNA: 'χρυσιον αλεξανδρος ουδις χρυσιον'
Generation 50 | Average Generation Fitness: 0.0028415362501162697 | Best Fitness: 0.005381958849969213 | Population Length: 20| Best DNA: 'μενου αλεξανδρος ουδις μενου'
Generation 51 | Average Generation Fitness: 0.0028428955749691905 | Best Fitness: 0.006696069928436074 | Population Length: 20| Best DNA: 'αρχοντες αλεξανδρος ουδις αρχοντες'
Generation 52 | Average Generation Fitness: 0.0029082128657906005 | Best Fitness: 0.005204063535946145 | Population Length: 20| Best DNA: 'χρυσιον αλεξανδρος ουδις χρυσιον'
Generation 53 | Average Generation Fitness: 0.0031826752149350934 | Best Fitness: 0.008880418557747504 | Population Length: 20| Best DNA: 'οι αλεξανδρος ουδις οι'
Generation 54 | Average Generation Fitness: 0.0028846607771286464 | Best Fitness: 0.007531373971625194 | Population Length: 20| Best DNA: 'χρυσιον αλεξανδρος ουδις χρυσιον'
Generation 55 | Average Generation Fitness: 0.0027556549436320256 | Best Fitness: 0.0049512573016927824 | Population Length: 20| Best DNA: 'ευνωνα αλεξανδρος ουδις ευνωνα'
Generation 56 | Average Generation Fitness: 0.002883210281781715 | Best Fitness: 0.0055791773682402806 | Population Length: 20| Best DNA: 'ας αλεξανδρος ουδις ας'
Generation 57 | Average Generation Fitness: 0.0031971729176993938 | Best Fitness: 0.007877507119146991 | Population Length: 20| Best DNA: 'ανοικοδομηθη αλεξανδρος ουδις ανοικοδομηθη'
Generation 58 | Average Generation Fitness: 0.0030840311447591583 | Best Fitness: 0.011518781324235436 | Population Length: 20| Best DNA: 'κνιδιον αλεξανδρος ουδις κνιδιον'
