----------------------------------------------------------------------------------------------------
Execution: 0
Generation 37 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'αυτους αλεξανδρος ουδις αυτους'
Generation 38 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'αυτους αλεξανδρος ουδις αυτους'
Generation 39 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'αυτους αλεξανδρος ουδις αυτους'
Generation 40 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'αυτους αλεξανδρος ουδις αυτους'
Generation 41 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'αυτους αλεξανδρος ουδις αυτους'
Generation 42 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'αυτους αλεξανδρος ουδις αυτους'
Generation 43 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'αυτους αλεξανδρος ουδις αυτους'
Generation 44 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'αυτους αλεξανδρος ουδις αυτους'
Generation 45 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'αυτους αλεξανδρος ουδις αυτους'
Generation 46 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'αυτους αλεξανδρος ουδις αυτους'
Generation 47 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'αυτους αλεξανδρος ουδις αυτους'
Generation 48 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'αυτους αλεξανδρος ουδις αυτους'
Generation 49 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'αυτους αλεξανδρος ουδις αυτους'
Generation 50 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'αυτους αλεξανδρος ουδις αυτους'
------------------------------------------------
Total Generations: 50
Total Population: 200   ---   Mutation Rate: 0.0  ---  Crossover Probability: 0.6
Average Fitness: 0.0025266690944251297  ---  Best Overall Fitness: 0.009747565958707438
----------------------------------------------------------------------------------------------------------------------------------------------------
Execution: 1
