----------------------------------------------------------------------------------------------------
Execution: 0
Generation 37 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αποφερων αλεξανδρος ουδις αποφερων'
Generation 38 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αποφερων αλεξανδρος ουδις αποφερων'
Generation 39 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αποφερων αλεξανδρος ουδις αποφερων'
Generation 40 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αποφερων αλεξανδρος ουδις αποφερων'
Generation 41 | Average Generation Fitness: 0.0028973145574543065 | Best Fitness: 0.009939578355008414 | Population Length: 20| Best DNA: 'ηρακλει αλεξανδρος ουδις ηρακλει'
Generation 42 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αποφερων αλεξανδρος ουδις αποφερων'
Generation 43 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αποφερων αλεξανδρος ουδις αποφερων'
Generation 44 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αποφερων αλεξανδρος ουδις αποφερων'
Generation 45 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αποφερων αλεξανδρος ουδις αποφερων'
Generation 46 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αποφερων αλεξανδρος ουδις αποφερων'
Generation 47 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αποφερων αλεξανδρος ουδις αποφερων'
Generation 48 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αποφερων αλεξανδρος ουδις αποφερων'
Generation 49 | Average Generation Fitness: 0.0026182571200351495 | Best Fitness: 0.004358429606625277 | Population Length: 20| Best DNA: 'περαν αλεξανδρος ουδις περαν'
Generation 50 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αποφερων αλεξανδρος ουδις αποφερων'
------------------------------------------------
Total Generations: 50
Total Population: 20   ---   Mutation Rate: 0.01  ---  Crossover Probability: 0.6
Average Fitness: 0.0025266690944251427  ---  Best Overall Fitness: 0.009939578355008414
