----------------------------------------------------------------------------------------------------
Execution: 0
Generation 37 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τελουσης αλεξανδρος ουδις τελουσης'
Generation 38 | Average Generation Fitness: 0.002761873675046443 | Best Fitness: 0.007230760706851136 | Population Length: 20| Best DNA: 'δαπανην αλεξανδρος ουδις δαπανην'
Generation 39 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τελουσης αλεξανδρος ουδις τελουσης'
Generation 40 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τελουσης αλεξανδρος ουδις τελουσης'
Generation 41 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τελουσης αλεξανδρος ουδις τελουσης'
Generation 42 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τελουσης αλεξανδρος ουδις τελουσης'
Generation 43 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τελουσης αλεξανδρος ουδις τελουσης'
Generation 44 | Average Generation Fitness: 0.002724787062605586 | Best Fitness: 0.006489028458034011 | Population Length: 20| Best DNA: 'λοιπης αλεξανδρος ουδις λοιπης'
Generation 45 | Average Generation Fitness: 0.00270558166815307 | Best Fitness: 0.006104920568983688 | Population Length: 20| Best DNA: 'συνιδων αλεξανδρος ουδις συνιδων'
Generation 46 | Average Generation Fitness: 0.0028568389486074526 | Best Fitness: 0.006104920568983688 | Population Length: 20| Best DNA: 'ενσ αλεξανδρος ουδις ενσ'
Generation 47 | Average Generation Fitness: 0.0027636556201657363 | Best Fitness: 0.0055518147035127936 | Population Length: 20| Best DNA: 'υγιαινοντος αλεξανδρος ουδις υγιαινοντος'
Generation 48 | Average Generation Fitness: 0.002949095272079426 | Best Fitness: 0.007546022836062371 | Population Length: 20| Best DNA: 'χοφαρνου αλεξανδρος ουδις χοφαρνου'
Generation 49 | Average Generation Fitness: 0.002612398339711354 | Best Fitness: 0.0042412540001493595 | Population Length: 20| Best DNA: 'πολεμω αλεξανδρος ουδις πολεμω'
Generation 50 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τελουσης αλεξανδρος ουδις τελουσης'
Generation 51 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τελουσης αλεξανδρος ουδις τελουσης'
------------------------------------------------
Total Generations: 51
