----------------------------------------------------------------------------------------------------
Execution: 0
Generation 37 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'πυργον αλεξανδρος ουδις πυργον'
Generation 38 | Average Generation Fitness: 0.0025670042231380635 | Best Fitness: 0.009858448156742031 | Population Length: 200| Best DNA: 'πολεμω αλεξανδρος ουδις πολεμω'
Generation 39 | Average Generation Fitness: 0.0025405715125510907 | Best Fitness: 0.005307152719617459 | Population Length: 200| Best DNA: 'ανοικοδομηθη αλεξανδρος ουδις ανοικοδομηθη'
Generation 40 | Average Generation Fitness: 0.0025409571225242576 | Best Fitness: 0.005384274714250791 | Population Length: 200| Best DNA: 'γυναικαν αλεξανδρος ουδις γυναικαν'
Generation 41 | Average Generation Fitness: 0.002623648085592389 | Best Fitness: 0.015454711646691648 | Population Length: 200| Best DNA: 'βασιλεως αλεξανδρος ουδις βασιλεως'
Generation 42 | Average Generation Fitness: 0.002606019802164416 | Best Fitness: 0.007396715193455675 | Population Length: 200| Best DNA: 'τιτος αλεξανδρος ουδις τιτος'
Generation 43 | Average Generation Fitness: 0.0025530478374299033 | Best Fitness: 0.007802417695379942 | Population Length: 200| Best DNA: 'τατια αλεξανδρος ουδις τατια'
Generation 44 | Average Generation Fitness: 0.002535500170860595 | Best Fitness: 0.0042928843815182695 | Population Length: 200| Best DNA: 'καναξαγορη αλεξανδρος ουδις καναξαγορη'
Generation 45 | Average Generation Fitness: 0.0025748816560553635 | Best Fitness: 0.008278609727626857 | Population Length: 200| Best DNA: 'ιιου αλεξανδρος ουδις ιιου'
Generation 46 | Average Generation Fitness: 0.002557801861014544 | Best Fitness: 0.005661898320091917 | Population Length: 200| Best DNA: 'αχιλλευς αλεξανδρος ουδις αχιλλευς'
Generation 47 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'πυργον αλεξανδρος ουδις πυργον'
Generation 48 | Average Generation Fitness: 0.0025414047920394745 | Best Fitness: 0.0040734562055241225 | Population Length: 200| Best DNA: 'εξαρτισας αλεξανδρος ουδις εξαρτισας'
Generation 49 | Average Generation Fitness: 0.0025715562740073294 | Best Fitness: 0.00664297960695371 | Population Length: 200| Best DNA: 'αυριον αλεξανδρος ουδις αυριον'
Generation 50 | Average Generation Fitness: 0.002546932401295014 | Best Fitness: 0.006579330468402094 | Population Length: 200| Best DNA: 'πυργον αλεξανδρος ουδις πυργον'
Generation 51 | Average Generation Fitness: 0.0025612360195808965 | Best Fitness: 0.009440054125578586 | Population Length: 200| Best DNA: 'αντ αλεξανδρος ουδις αντ'
Generation 52 | Average Generation Fitness: 0.002612973093582261 | Best Fitness: 0.011042818087891485 | Population Length: 200| Best DNA: 'πολυδευκης αλεξανδρος ουδις πολυδευκης'
Generation 53 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'πυργον αλεξανδρος ουδις πυργον'
Generation 54 | Average Generation Fitness: 0.002533552790357589 | Best Fitness: 0.0039034082809170623 | Population Length: 200| Best DNA: 'χανσαβογαζον αλεξανδρος ουδις χανσαβογαζον'
Generation 55 | Average Generation Fitness: 0.002574783979736742 | Best Fitness: 0.007084258794437864 | Population Length: 200| Best DNA: 'πολεμω αλεξανδρος ουδις πολεμω'
Generation 56 | Average Generation Fitness: 0.0025549640461335764 | Best Fitness: 0.007230760706851136 | Population Length: 200| Best DNA: 'συρισκου αλεξανδρος ουδις συρισκου'
Generation 57 | Average Generation Fitness: 0.00256766558811348 | Best Fitness: 0.006077965864956597 | Population Length: 200| Best DNA: 'ασυλει αλεξανδρος ουδις ασυλει'
Generation 58 | Average Generation Fitness: 0.0025397432181333453 | Best Fitness: 0.005141493836068237 | Population Length: 200| Best DNA: 'απασι αλεξανδρος ουδις απασι'
Generation 59 | Average Generation Fitness: 0.0025729232935884855 | Best Fitness: 0.0082956067790004 | Population Length: 200| Best DNA: 'αξιαν αλεξανδρος ουδις αξιαν'
