----------------------------------------------------------------------------------------------------
Execution: 0
Generation 36 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'συνεχως αλεξανδρος ουδις συνεχως'
Generation 37 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'συνεχως αλεξανδρος ουδις συνεχως'
Generation 38 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'συνεχως αλεξανδρος ουδις συνεχως'
Generation 39 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'συνεχως αλεξανδρος ουδις συνεχως'
Generation 40 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'συνεχως αλεξανδρος ουδις συνεχως'
Generation 41 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'συνεχως αλεξανδρος ουδις συνεχως'
Generation 42 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'συνεχως αλεξανδρος ουδις συνεχως'
Generation 43 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'συνεχως αλεξανδρος ουδις συνεχως'
Generation 44 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'συνεχως αλεξανδρος ουδις συνεχως'
Generation 45 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'συνεχως αλεξανδρος ουδις συνεχως'
Generation 46 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'συνεχως αλεξανδρος ουδις συνεχως'
Generation 47 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'συνεχως αλεξανδρος ουδις συνεχως'
Generation 48 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'συνεχως αλεξανδρος ουδις συνεχως'
Generation 49 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'συνεχως αλεξανδρος ουδις συνεχως'
Generation 50 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'συνεχως αλεξανδρος ουδις συνεχως'
------------------------------------------------
Total Generations: 50
Total Population: 20   ---   Mutation Rate: 0.0  ---  Crossover Probability: 0.6
Average Fitness: 0.0025266690944251427  ---  Best Overall Fitness: 0.007508678274314479
----------------------------------------------------------------------------------------------------------------------------------------------------
Execution: 1
Generation 1 | Average Generation Fitness: 0.00442108239196738 | Best Fitness: 0.006638992285503545 | Population Length: 20| Best DNA: 'παρθενος αλεξανδρος ουδις παρθενος'
Generation 2 | Average Generation Fitness: 0.0038743726510323726 | Best Fitness: 0.0059385459338720204 | Population Length: 20| Best DNA: 'υιω αλεξανδρος ουδις υιω'
Generation 3 | Average Generation Fitness: 0.003527303763144464 | Best Fitness: 0.005626758250580273 | Population Length: 20| Best DNA: 'παρθενος αλεξανδρος ουδις παρθενος'
Generation 4 | Average Generation Fitness: 0.0033704217078695782 | Best Fitness: 0.0040734562055241225 | Population Length: 20| Best DNA: 'απεκατεστησα αλεξανδρος ουδις απεκατεστησα'
Generation 5 | Average Generation Fitness: 0.0031165261191010898 | Best Fitness: 0.003510631004782436 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
Generation 6 | Average Generation Fitness: 0.003195559182453362 | Best Fitness: 0.0034083504740241312 | Population Length: 20| Best DNA: 'δωρα αλεξανδρος ουδις δωρα'
Generation 7 | Average Generation Fitness: 0.0030927475745605696 | Best Fitness: 0.0034083504740241312 | Population Length: 20| Best DNA: 'δωρα αλεξανδρος ουδις δωρα'
Generation 8 | Average Generation Fitness: 0.003041341770614173 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'μιξελληνας αλεξανδρος ουδις μιξελληνας'
Generation 9 | Average Generation Fitness: 0.0030413417706141727 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
Generation 10 | Average Generation Fitness: 0.002894292434560164 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'μιξελληνας αλεξανδρος ουδις μιξελληνας'
Generation 11 | Average Generation Fitness: 0.002857530100546662 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
Generation 12 | Average Generation Fitness: 0.0026737184304791517 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
Generation 13 | Average Generation Fitness: 0.0026737184304791513 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
Generation 14 | Average Generation Fitness: 0.002563431428438645 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'μιξελληνας αλεξανδρος ουδις μιξελληνας'
Generation 15 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
Generation 16 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
Generation 17 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
Generation 18 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
Generation 19 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
Generation 20 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
Generation 21 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
Generation 22 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
Generation 23 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
Generation 24 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
Generation 25 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
Generation 26 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
Generation 27 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
Generation 28 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
Generation 29 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
Generation 30 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
Generation 31 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
Generation 32 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
Generation 33 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
Generation 34 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
Generation 35 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
Generation 36 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
Generation 37 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
Generation 38 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
Generation 39 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
Generation 40 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
Generation 41 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
Generation 42 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
Generation 43 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
Generation 44 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
Generation 45 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
Generation 46 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
Generation 47 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
Generation 48 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
