----------------------------------------------------------------------------------------------------
Execution: 0
Generation 37 | Average Generation Fitness: 0.0025303453278264798 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'αμφοτερους αλεξανδρος ουδις αμφοτερους'
Generation 38 | Average Generation Fitness: 0.0025700252164848037 | Best Fitness: 0.008643927307863458 | Population Length: 200| Best DNA: 'θρασυλοχου αλεξανδρος ουδις θρασυλοχου'
Generation 39 | Average Generation Fitness: 0.0026252070220647516 | Best Fitness: 0.01009984325661137 | Population Length: 200| Best DNA: 'διατετελεκεν αλεξανδρος ουδις διατετελεκεν'
Generation 40 | Average Generation Fitness: 0.002549320631066538 | Best Fitness: 0.0046071448367125305 | Population Length: 200| Best DNA: 'φιλομουσου αλεξανδρος ουδις φιλομουσου'
Generation 41 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'παραδεξαμενος αλεξανδρος ουδις παραδεξαμενος'
Generation 42 | Average Generation Fitness: 0.0025424955712176323 | Best Fitness: 0.00569196445292576 | Population Length: 200| Best DNA: 'οντος αλεξανδρος ουδις οντος'
Generation 43 | Average Generation Fitness: 0.002561988258922732 | Best Fitness: 0.00677002630048368 | Population Length: 200| Best DNA: 'βαβος αλεξανδρος ουδις βαβος'
Generation 44 | Average Generation Fitness: 0.002537514629225737 | Best Fitness: 0.004695776054546578 | Population Length: 200| Best DNA: 'ευφροσυνος αλεξανδρος ουδις ευφροσυνος'
Generation 45 | Average Generation Fitness: 0.0025507265998014773 | Best Fitness: 0.005547159647149045 | Population Length: 200| Best DNA: 'δουναι αλεξανδρος ουδις δουναι'
Generation 46 | Average Generation Fitness: 0.0025417948224705678 | Best Fitness: 0.0055518147035127936 | Population Length: 200| Best DNA: 'μεγ αλεξανδρος ουδις μεγ'
Generation 47 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'παραδεξαμενος αλεξανδρος ουδις παραδεξαμενος'
Generation 48 | Average Generation Fitness: 0.0025663459047693365 | Best Fitness: 0.007692298628630676 | Population Length: 200| Best DNA: 'χρηματων αλεξανδρος ουδις χρηματων'
Generation 49 | Average Generation Fitness: 0.002575084084400684 | Best Fitness: 0.006562245807698485 | Population Length: 200| Best DNA: 'κρητινη αλεξανδρος ουδις κρητινη'
Generation 50 | Average Generation Fitness: 0.0025338912895191963 | Best Fitness: 0.003971108113238468 | Population Length: 200| Best DNA: 'παρουσιαν αλεξανδρος ουδις παρουσιαν'
------------------------------------------------
Total Generations: 50
Total Population: 200   ---   Mutation Rate: 0.01  ---  Crossover Probability: 0.6
Average Fitness: 0.0025338912895191963  ---  Best Overall Fitness: 0.010799157986106174
----------------------------------------------------------------------------------------------------------------------------------------------------
Execution: 1
Generation 1 | Average Generation Fitness: 0.004643410182243884 | Best Fitness: 0.010309627863820591 | Population Length: 200| Best DNA: 'τιτος αλεξανδρος ουδις τιτος'
Generation 2 | Average Generation Fitness: 0.003957171482877527 | Best Fitness: 0.007519997064857098 | Population Length: 200| Best DNA: 'οαισακτεσ αλεξανδρος ουδις οαισακτεσ'
Generation 3 | Average Generation Fitness: 0.0035564004203288723 | Best Fitness: 0.006304179500396947 | Population Length: 200| Best DNA: 'γενομενης αλεξανδρος ουδις γενομενης'
Generation 4 | Average Generation Fitness: 0.003394311187167794 | Best Fitness: 0.008532128553388961 | Population Length: 200| Best DNA: 'ευσ αλεξανδρος ουδις ευσ'
Generation 5 | Average Generation Fitness: 0.0033025179017592667 | Best Fitness: 0.011199605639007088 | Population Length: 200| Best DNA: 'κυλιξ αλεξανδρος ουδις κυλιξ'
Generation 6 | Average Generation Fitness: 0.0032420975265605636 | Best Fitness: 0.003976625630581536 | Population Length: 200| Best DNA: 'αδελφων αλεξανδρος ουδις αδελφων'
Generation 7 | Average Generation Fitness: 0.003232505907484378 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'τετηρημενημ αλεξανδρος ουδις τετηρημενημ'
